id,week,week_start_date,obj_num,flw_get,last_flw_get,height_pl,num_leaf,len_leaf,width_leaf,unit_len,dim_pipe
11,22,2021.2.9 0:00,4,13,7,41.2,19,7.2,6,12.3,15.95
11,23,2021.2.16 0:00,1,12,11,32,20,7.2,6,11,16.51
11,23,2021.2.16 0:00,2,12,11,22,6,4,3.5,6,14.61
11,23,2021.2.16 0:00,3,8,9,35.3,15,7.6,6.5,13,20.56
11,23,2021.2.16 0:00,4,13,13,42,21,7.8,6,11,21.29
11,24,2021.2.23 0:00,1,11,12,31.5,18,7.2,5.7,11.5,15.94
11,24,2021.2.23 0:00,2,11,12,21,4,4.3,3.5,6,14.1
11,24,2021.2.23 0:00,3,11,8,30.5,14,7.8,6.7,14.2,19.53
11,24,2021.2.23 0:00,4,17,13,39.5,24,8.5,6,16.5,20.59
11,25,2021.3.2 0:00,1,11,11,31,20,8,7,13.5,16.61
11,25,2021.3.2 0:00,2,7,11,20.2,5,4.5,3.5,6,14.12
11,25,2021.3.2 0:00,3,11,11,31,14,8,6.7,14.5,20.26
11,25,2021.3.2 0:00,4,13,17,37,23,8.7,6.7,17.5,20.21
11,26,2021.3.9 0:00,1,15,11,31.3,21,8,7,13.2,15.9
11,26,2021.3.9 0:00,2,3,7,20.2,4,4.2,3.5,7,14.06
11,26,2021.3.9 0:00,3,13,11,34,16,8,6.7,14.2,19.29
11,26,2021.3.9 0:00,4,13,13,36.5,25,6.5,4.8,14,21.94
11,27,2021.3.16 0:00,1,17,15,31.2,22,8.3,6.7,14,16.55
11,27,2021.3.16 0:00,2,3,3,20.2,4,4.3,3.5,6.3,12.59
11,27,2021.3.16 0:00,3,13,13,36,16,8,7.7,15,18.79
11,27,2021.3.16 0:00,4,8,13,35.5,21,9,7,18,18.79
11,28,2021.3.23 0:00,1,16,17,31.5,23,7.5,6.3,14,15.53
11,28,2021.3.23 0:00,2,2,3,19.5,4,3.5,2.8,7,14.17
11,28,2021.3.23 0:00,3,11,13,40.5,15,8,7,15,18.76
11,28,2021.3.23 0:00,4,9,8,35.5,22,8.8,7,18,19.1
11,29,2021.3.30 0:00,1,13,16,31,22,8.6,7,14.2,15.37
11,29,2021.3.30 0:00,2,2,2,19.5,4,3.5,2.8,7,14.17
11,29,2021.3.30 0:00,3,12,11,42,16,8,6.5,17.5,19.33
11,29,2021.3.30 0:00,4,21,9,35.5,24,8,6.4,15,15.93
11,30,2021.4.6 0:00,1,12,13,31,22,8.6,7,15,15.54
11,30,2021.4.6 0:00,2,2,2,19.5,4,3.5,2.8,7,14.17
11,30,2021.4.6 0:00,3,7,12,44.5,15,8,7,17.5,20.02
11,30,2021.4.6 0:00,4,18,21,35.8,27,8,6.3,15,19.14
16,4,2020.10.1 0:00,1,0,,18,5,8.5,6.5,8,13
16,4,2020.10.1 0:00,2,0,,16,4,7.5,5.5,7,14.4
16,4,2020.10.1 0:00,3,0,,16,4,8,6,7,10.2
16,4,2020.10.1 0:00,4,0,,22,4,7.5,6,6,11.3
16,5,2020.10.8 0:00,1,0,0,20,4,10,8,8,13.65
16,5,2020.10.8 0:00,2,0,0,20,4,8,6.5,7,14.7
16,5,2020.10.8 0:00,3,0,0,19,4,8,6,9,11.25
16,5,2020.10.8 0:00,4,0,0,18,5,8,6,7,11.7
16,6,2020.10.15 0:00,1,0,0,22,4,11,9,9,14.16666667
16,6,2020.10.15 0:00,2,0,0,23,4,9,8,9,14.96666667
16,6,2020.10.15 0:00,3,0,0,23,5,8,6,9,12.26666667
16,6,2020.10.15 0:00,4,0,0,21,5,10,9,10,12.33333333
16,7,2020.10.22 0:00,1,0,0,22,5,11,10,8,13.33333333
16,7,2020.10.22 0:00,2,0,0,26,5,11,9,10,13.9
16,7,2020.10.22 0:00,3,0,0,26,5,10,8,11,15.1
16,7,2020.10.22 0:00,4,0,0,26,6,10,9,8,15.5
16,8,2020.10.29 0:00,1,3,0,25,6,10,8,14,15.9
16,8,2020.10.29 0:00,2,2,0,29,5,12,10,13,16.43333333
16,8,2020.10.29 0:00,3,1,0,29,6,12,10,13,15.36666667
16,8,2020.10.29 0:00,4,2,0,27,8,10,9,14,14.66666667
16,9,2020.11.5 0:00,1,6,3,28,7,10.5,9,15,18.76666667
16,9,2020.11.5 0:00,2,3,2,31,6,11,9,15.5,17.56666667
16,9,2020.11.5 0:00,3,4,1,31,6,10.5,9,17.5,18.1
16,9,2020.11.5 0:00,4,3,2,31,10,10,8.5,18,16
16,10,2020.11.12 0:00,1,10,6,30,8,10,8,16,22.9
