id,date,temp_ex_day,temp_ex_night,s_am_day,s_am_night,as_am_day,as_am_night,temp_int_day,temp_int_night,hum_int_day,hum_int_night,CO2_day,CO2_night,st_day,st_night
49,2021-05-15 0:00,18.29285714285714,18.000000000000004,46.285714285714285,0.0,267.2857142857143,259.2,23.528571428571432,19.08,81.79285714285716,91.36,613.6428571428571,674.5,21.87142857142857,20.69
49,2021-05-16 0:00,17.176923076923078,18.60909090909091,29.692307692307693,0.0,225.07692307692307,140.36363636363637,18.70769230769231,18.718181818181815,90.15384615384617,93.05454545454543,604.6923076923077,636.0,20.246153846153845,20.063636363636363
49,2021-05-17 0:00,14.14285714285714,13.62,33.357142857142854,0.0,247.07142857142858,186.8,16.25714285714286,14.569999999999999,89.06428571428573,93.81000000000002,570.0714285714286,621.5,16.90714285714286,16.009999999999998
49,2021-05-18 0:00,17.27857142857143,14.98,67.64285714285714,0.0,443.92857142857144,284.1,22.28571428571428,15.340000000000003,76.97857142857141,93.66999999999999,551.2142857142857,635.2,20.514285714285716,16.740000000000002
49,2021-05-19 0:00,23.242857142857144,17.94,195.07142857142858,0.0,1440.7857142857142,1092.4,30.199999999999996,16.849999999999998,46.82142857142858,85.13999999999999,476.7857142857143,632.8,27.1,20.14
49,2021-05-20 0:00,17.7,18.183333333333334,24.5,0.0,61.833333333333336,0.0,17.95,16.866666666666664,83.81666666666666,83.71666666666667,620.5,650.8333333333334,19.633333333333333,20.749999999999996
52,2020-06-04 0:00,28.709090909090914,20.261538461538464,2.280909090909091,0.0,16.84,5.79,30.927272727272726,21.54615384615385,99.30000000000001,98.87692307692306,376.54545454545456,383.9230769230769,25.227272727272727,22.39230769230769
52,2020-06-05 0:00,28.654545454545453,20.86923076923077,1.9154545454545457,0.0,13.939999999999998,18.37230769230769,29.872727272727275,22.876923076923074,90.21818181818183,97.85384615384615,384.54545454545456,420.0769230769231,25.39090909090909,22.93846153846154
52,2020-06-06 0:00,25.49090909090909,21.22307692307692,1.29,0.0,9.647272727272727,14.619999999999997,28.327272727272728,22.907692307692308,92.93636363636364,99.28461538461536,402.3636363636364,421.84615384615387,25.09090909090909,23.1
52,2020-06-07 0:00,26.84545454545454,20.907692307692308,1.7818181818181822,0.0,13.358181818181817,12.163846153846153,29.3,23.053846153846152,92.22727272727273,99.73846153846154,429.6363636363636,458.15384615384613,26.24545454545455,23.284615384615385
52,2020-06-08 0:00,29.227272727272727,18.823076923076925,2.130909090909091,0.0,15.75090909090909,15.963076923076922,30.509090909090915,22.307692307692307,82.45454545454545,98.19230769230768,418.72727272727275,465.6923076923077,26.745454545454546,23.16153846153846
52,2020-06-09 0:00,30.081818181818175,19.923076923076923,2.2490909090909095,0.0,16.55636363636364,18.330769230769235,31.14545454545455,23.453846153846158,81.14545454545454,97.26153846153846,424.09090909090907,541.3076923076923,26.854545454545452,23.653846153846153
52,2020-06-10 0:00,30.03,21.75,1.9729999999999996,0.0,14.154,18.007142857142856,32.36,23.69285714285714,76.66999999999999,94.38571428571427,417.1,447.92857142857144,28.389999999999997,23.86428571428571
52,2020-06-11 0:00,28.027272727272727,22.22307692307692,1.692727272727273,0.0,12.123636363636363,14.920769230769233,31.99090909090909,24.653846153846153,80.70909090909089,95.1846153846154,420.72727272727275,427.2307692307692,28.536363636363635,24.715384615384615
52,2020-06-12 0:00,27.75,23.75714285714286,1.3239999999999998,0.0,9.350999999999999,13.092857142857145,33.47,25.392857142857142,78.08000000000001,94.95,424.0,403.92857142857144,29.870000000000005,25.478571428571428
