id,week,week_start_date,temp_ex_max,temp_ex_min,temp_ex_mean,s_am_max,s_am_min,s_am_mean,temp_int_max,temp_int_min,temp_int_mean,hum_int_max,hum_int_min,hum_int_mean,CO2_max,CO2_min,CO2_mean,st_max,st_min,st_mean
11,1,2020.9.15 0:00,26.014285714285712,14.8,20.001785714285717,2.305714285714285,0.019999999999999997,0.6291666666666667,27.571428571428566,17.099999999999998,21.64702380952381,94.28571428571429,41.285714285714285,71.60714285714285,619.2093023142858,478.4983388714286,517.0357142857143,15.831840670000002,15.831840670000002,15.831840670000004
11,2,2020.9.22 0:00,25.771428571428572,13.785714285714286,19.422619047619047,2.7657142857142856,0.015714285714285715,0.7449404761904762,26.941108544285715,19.93549983571429,22.778345293154757,86.28571428571429,16.714285714285715,56.93749999999999,888.7142857142857,434.2857142857143,514.0535714285714,15.831840670000002,15.831840670000002,15.831840670000004
11,3,2020.9.29 0:00,24.62857142857143,12.900000000000002,18.129761904761907,2.494285714285714,0.03,0.5600595238095238,24.073441108571426,23.653810622857144,23.863625866071427,90.57142857142857,18.428571428571427,62.595238095238095,882.4285714285714,435.0,558.3779761904761,15.831840670000002,15.831840670000002,15.831840670000004
11,4,2020.10.6 0:00,23.357142857142858,10.542857142857143,16.576785714285712,2.495714285714286,0.038571428571428576,0.6430952380952382,21.00831408857143,20.588683602857145,20.798498845238093,86.0,17.428571428571427,53.648809523809526,1102.2857142857142,430.57142857142856,530.2946428571429,15.831840670000002,15.831840670000002,15.831840670000004
11,5,2020.10.13 0:00,18.54285714285714,4.271428571428571,10.82202380950595,2.0885714285714285,0.07714285714285715,0.5198809523809523,24.32240184714286,12.97674035,17.566375233630954,80.85714285714286,22.857142857142858,58.42857142857143,895.5714285714286,432.85714285714283,569.0714285714286,15.831840670000002,15.831840670000002,15.831840670000004
11,6,2020.10.20 0:00,19.242857142857144,3.5428571428571423,10.717857142857142,2.045714285714286,0.052857142857142846,0.530952380952381,23.357142857142858,12.057142857142859,16.247619047619047,83.0,25.857142857142858,61.31547619047618,1150.2857142857142,436.7142857142857,607.4970238095239,15.831840670000002,15.831840670000002,15.831840670000004
11,7,2020.10.27 0:00,19.185714285714287,3.442857142857143,11.139285714285714,1.9828571428571427,0.03571428571428571,0.49017857142857135,23.87142857142857,13.228571428571428,17.241666666666667,85.57142857142857,28.428571428571427,65.07142857142858,1098.7142857142858,402.85714285714283,611.6458333333333,15.831840670000002,15.831840670000002,15.831840670000004
11,8,2020.11.3 0:00,15.528571428571428,0.6285714285714284,7.804761904761904,1.932857142857143,0.014285714285714287,0.4694642857142857,24.785714285714285,11.857142857142858,16.491071428571427,89.28571428571429,27.285714285714285,66.3452380952381,1024.5714285714287,372.57142857142856,577.6904761904763,16.78443486,15.784434860000001,15.963873963452384
11,9,2020.11.10 0:00,18.471428571428568,0.6714285714285714,8.435714285714285,2.004285714285714,0.06,0.45863095238095236,24.842857142857145,11.242857142857144,16.181547619047617,83.0,24.714285714285715,65.32142857142857,1120.2857142857142,404.14285714285717,605.0208333333333,19.385714285714283,14.257142857142856,16.45357142857143
11,10,2020.11.17 0:00,15.657142857142857,5.557142857142857,10.729166666666668,0.9214285714285714,0.03571428571428571,0.19886904761904758,21.771428571428572,13.37142857142857,16.547619047619047,99.28571428571429,62.857142857142854,89.18452380952381,997.2857142857143,387.2857142857143,602.8184523809524,19.88571428571429,16.514285714285712,18.11488095238095
11,11,2020.11.24 0:00,9.799999999999999,-0.6285714285714287,3.999404761904762,1.5599999999999998,0.08571428571428573,0.35297619047619044,22.928571428571423,11.485714285714286,15.28690476190476,95.0,41.42857142857143,78.3809523809524,1204.4285714285713,348.0,686.0446428553571,20.442857142857143,16.228571428571428,18.01309523809524
11,12,2020.12.1 0:00,8.742857142857144,-3.6714285714285713,1.6035714285714284,1.6242857142857143,0.0642857142857143,0.3426785714285714,24.37142857142857,10.042857142857143,14.189285714285715,91.57142857142857,43.42857142857143,78.38690476190477,1292.4285714285713,321.57142857142856,724.8125,20.614285714285717,15.557142857142859,17.89404761904762
11,13,2020.12.8 0:00,7.514285714285714,-3.4285714285714284,1.8184523809523812,1.5942857142857143,0.12142857142857144,0.3395833333333333,23.542857142857144,9.985714285714286,14.147023809523805,95.28571428571429,32.57142857142857,77.89880952380953,1350.7142857142858,349.7142857142857,827.6190476214286,19.971428571428568,15.4,17.524404761904762
11,14,2020.12.15 0:00,2.6,-9.085714285714285,-3.644642857142857,1.7228571428571429,0.19999999999999998,0.38327380952380946,21.842857142857145,7.671428571428571,12.525595238095237,93.0,62.0,83.44642857142857,1230.9142857142856,423.42857142857144,858.594642857143,19.357142857142858,15.685714285714285,17.53988095238095
11,15,2020.12.22 0:00,9.328571428571427,-4.942857142857143,0.982142857142857,1.48,0.1242857142857143,0.3278571428571428,22.985714285714284,8.885714285714286,13.424404761904764,98.85714285714286,73.85714285714286,92.08333333333333,1300.2244898571428,494.14285714285717,890.0988095273809,19.314285714285713,15.642857142857142,17.45892857142857
11,16,2020.12.29 0:00,1.2714285714285711,-8.985714285714284,-4.1875,1.25,0.037142857142857144,0.250297619047619,20.157142857142855,8.6,12.030952380952384,99.71428571428571,74.85714285714286,92.01190476190474,1200.3453690000001,682.0,931.0714285720239,18.785714285714285,15.4,17.276190476190475
