id,date,temp_ex_day,temp_ex_night,s_am_day,s_am_night,temp_int_day,temp_int_night,hum_int_day,hum_int_night,CO2_day,CO2_night,st_day,st_night
11,2020.9.15 0:00,25.76153846153846,19.2,1.3384615384615384,0.0,25.569230769230767,20.336363636363636,64.53846153846153,89.0909090909091,514.6923076923077,557.5,15.831840669999998,15.831840669999998
11,2020.9.16 0:00,22.441666666666663,20.650000000000002,0.4533333333333334,0.0,24.033333333333335,21.491666666666664,74.5,90.16666666666667,519.8333333333334,559.1666666666666,15.831840669999998,15.831840669999998
11,2020.9.17 0:00,22.900000000000002,20.633333333333333,0.65,0.0,24.40833333333333,21.216666666666665,81.25,95.08333333333333,496.25,539.6666666666666,15.831840669999998,15.831840669999998
11,2020.9.18 0:00,23.084615384615386,17.39090909090909,1.49,0.0,23.430769230769236,18.172727272727272,52.92307692307692,89.27272727272727,545.6511628,548.8118393272729,15.831840669999998,15.831840669999998
11,2020.9.19 0:00,22.56923076923077,13.609090909090908,1.273846153846154,0.0,25.007692307692306,15.236363636363636,48.23076923076923,82.45454545454545,514.9534883692306,519.1395348727273,15.831840669999998,15.831840669999998
11,2020.9.20 0:00,21.484615384615385,13.5,1.6030769230769228,0.0,23.730769230769226,16.99090909090909,53.53846153846154,81.45454545454545,484.2558139615385,488.44186046363643,15.831840669999998,15.831840669999998
11,2020.9.21 0:00,21.292307692307695,12.32727272727273,1.406923076923077,0.0,22.93076923076923,17.827272727272728,40.69230769230769,72.18181818181819,458.465116276923,499.6310782181818,15.831840669999998,15.831840669999998
11,2020.9.22 0:00,21.276923076923076,14.818181818181818,1.3923076923076925,0.0,20.08284023692308,19.45870947181818,47.30769230769231,77.72727272727273,520.0769230769231,595.7272727272727,15.831840669999998,15.831840669999998
11,2020.9.23 0:00,20.999999999999996,16.463636363636365,1.0284615384615383,0.0,20.44090909076923,19.96322314090909,45.0,72.36363636363636,461.2307692307692,594.0909090909091,15.831840669999998,15.831840669999998
11,2020.9.24 0:00,23.084615384615383,17.781818181818185,1.3492307692307692,0.0,26.938461538461542,18.218181818181815,36.76923076923077,70.36363636363636,469.7692307692308,485.0,15.831840669999998,15.831840669999998
11,2020.9.25 0:00,23.10833333333333,17.3,1.5125,0.0,25.54166666666667,18.408333333333335,41.166666666666664,75.75,474.0833333333333,584.4166666666666,15.831840669999998,15.831840669999998
11,2020.9.26 0:00,22.258333333333336,17.416666666666668,1.6508333333333336,0.0,24.607428791666663,21.082313318333334,38.833333333333336,77.75,473.5833333333333,490.375,15.831840669999998,15.831840669999998
11,2020.9.27 0:00,23.433333333333334,15.391666666666667,1.6400000000000003,0.0,26.018033103333334,26.087971515833335,30.166666666666668,81.125,481.375,586.0,15.831840669999998,15.831840669999998
11,2020.9.28 0:00,23.058333333333334,14.166666666666666,1.541666666666667,0.0,25.5968822175,25.63337182416667,31.583333333333332,78.83333333333333,468.8333333333333,530.8333333333334,15.831840669999998,15.831840669999998
11,2020.9.29 0:00,21.766666666666666,13.808333333333335,1.1766666666666665,0.0,25.15900692916667,25.195496535,28.0,73.25,522.0,625.0,15.831840669999998,15.831840669999998
11,2020.9.30 0:00,22.20833333333333,14.800000000000002,1.0791666666666666,0.0,24.72113164,24.757621246666663,37.333333333333336,86.91666666666667,516.4166666666666,624.1666666666666,15.831840669999998,15.831840669999998
11,2020.10.1 0:00,21.75,16.583333333333332,1.3916666666666666,0.0,24.28325635083333,24.31974595916667,38.833333333333336,85.91666666666667,499.5833333333333,590.6666666666666,15.831840669999998,15.831840669999998
11,2020.10.2 0:00,22.066666666666666,17.05,1.1824999999999999,0.0,23.845381062499996,23.88187066916667,46.75,83.58333333333333,611.5,538.1666666666666,15.831840669999998,15.831840669999998
11,2020.10.3 0:00,21.918181818181814,18.453846153846154,0.7372727272727272,0.0,23.39838337181818,23.44890744384615,61.81818181818182,90.38461538461539,479.95454545454544,597.9230769230769,15.831840669999998,15.831840669999998
11,2020.10.4 0:00,20.254545454545454,17.230769230769234,0.9618181818181818,0.0,22.96050808272727,23.011032155384616,58.36363636363637,81.6923076923077,481.95454545454544,702.8461538461538,15.831840669999998,15.831840669999998
11,2020.10.5 0:00,16.783333333333335,9.683333333333334,1.4533333333333331,0.0,22.531755196666666,22.568244803333332,30.75,68.41666666666667,475.625,523.25,15.831840669999998,15.831840669999998
11,2020.10.6 0:00,17.316666666666666,10.191666666666666,1.5791666666666666,0.0,22.0938799075,22.130369514999998,31.916666666666668,72.75,649.9166666666666,565.5,15.831840669999998,15.831840669999998
11,2020.10.7 0:00,19.124999999999996,12.316666666666665,1.3291666666666668,0.0,21.65600461916667,21.692494225833332,33.0,72.16666666666667,473.4166666666667,677.25,15.831840669999998,15.831840669999998
11,2020.10.8 0:00,20.041666666666668,14.616666666666669,1.5550000000000004,0.0,21.21812933,21.254618938333333,33.583333333333336,62.5,455.1666666666667,544.0,15.831840669999998,15.831840669999998
11,2020.10.9 0:00,20.425000000000004,15.466666666666667,1.5175,0.0,20.78025404083333,20.816743649166668,29.916666666666668,57.25,528.75,450.0833333333333,15.831840669999998,15.831840669999998
11,2020.10.10 0:00,21.099999999999998,15.146153846153847,1.5463636363636366,0.0,20.333256350909092,20.383780423076924,29.09090909090909,66.76923076923077,451.0,513.5384615384615,15.831840669999998,15.831840669999998
11,2020.10.11 0:00,20.163636363636364,13.623076923076924,0.61,0.0,19.89538106181818,19.94590513461538,43.27272727272727,76.38461538461539,449.6363636363636,517.9615384615385,15.831840669999998,15.831840669999998
