id,week,week_start_date,temp_ex_day,temp_ex_night,s_am_day,s_am_night,as_am_day,as_am_night,temp_int_day,temp_int_night,hum_int_day,hum_int_night,CO2_day,CO2_night,st_day,st_night
11,1,2020.9.15 0:00,22.79056776556777,16.75865800865801,117.36630036630036,0.0,817.2756410256409,1336.4545454545457,24.15869963369963,18.753138528138525,59.38186813186813,85.67207792207793,504.8716032047619,530.3368066021645,15.831840669999995,15.831840669999995
11,2,2020.9.22 0:00,22.45998168498169,16.19123376623377,144.5,0.0,970.8800366300366,1763.2943722943724,24.175174520760073,21.264586346082247,38.68956043956043,76.2732683982684,478.42170329670336,552.349025974026,15.831840669999995,15.831840669999995
11,3,2020.9.29 0:00,20.963961038961035,15.372802197802201,114.03463203463205,0.0,700.0541125541125,1330.1236263736264,23.842774661958874,23.88327411608059,43.121212121212125,81.45146520146521,512.4334415584416,600.2884615384615,15.831840669999995,15.831840669999995
11,4,2020.10.6 0:00,19.831060606060607,13.555952380952382,132.5443722943723,0.0,837.3506493506493,1540.6932234432236,20.77634444055195,20.818848818772892,35.358225108225106,70.62271062271063,497.43831168831167,559.5201465201466,15.831840669999995,15.831840669999995
11,5,2020.10.13 0:00,15.314639905506494,7.0205794205824175,113.42857142857143,0.0,694.5454545454546,1137.2747252747254,20.316862121558444,15.239040174615386,39.064935064935064,74.8131868131868,501.68181818181813,626.0934065934067,15.831840669999995,15.831840669999995
11,6,2020.10.20 0:00,15.63896103896104,6.553846153846154,115.84415584415584,0.0,706.8181818181819,1189.032967032967,19.33766233766234,13.63296703296703,42.935064935064936,76.86813186813187,553.448051948052,653.2307692307693,15.831840669999995,15.831840669999995
11,7,2020.10.27 0:00,15.556331168831166,7.417445054945055,107.7224025974026,0.0,660.7402597402598,1058.2554945054944,20.582142857142856,14.480425824175823,48.52435064935065,78.93063186813185,534.6639610389609,674.6528159340659,15.83184067,15.831840669999995
11,8,2020.11.3 0:00,12.005194805194806,4.2505494505494505,102.42857142857142,0.0,639.9870129870129,1048.7362637362637,20.132467532467533,13.40989010989011,52.00000000000001,78.48351648351648,508.64285714285717,636.1153846153845,16.12068218493506,15.83119008373626
11,9,2020.11.10 0:00,14.322453102453101,4.253035060177917,109.70043290043292,0.0,577.9792207792208,1038.4599686028257,20.735440115440117,12.934149659863948,47.2001443001443,78.3322867608582,523.6839826839827,662.6489795918367,17.603304473304473,15.621104133961277
11,10,2020.11.17 0:00,12.389642857142857,9.56951530612245,49.035714285714285,0.0,260.9607142857143,417.0982142857143,18.425357142857145,15.22780612244898,80.26785714285714,95.25000000000001,557.625,631.0918367346939,18.656428571428574,17.745025510204083
11,11,2020.11.24 0:00,7.233650793650795,1.8234013605442174,87.38253968253969,0.0,469.4253968253969,750.9884353741496,19.15031746031746,12.676802721088434,64.96666666666667,87.52993197278911,741.6260582020634,653.3842970489796,18.834285714285716,17.456394557823128
11,12,2020.12.1 0:00,5.763347763347762,-1.215834641548927,84.23376623376623,0.0,440.7440115440116,799.446991104134,18.743636363636362,11.073689167974882,67.16493506493507,86.08294086865514,674.697619047619,760.9213239141811,18.876421356421357,17.208236525379384
11,13,2020.12.8 0:00,5.006825396825397,-0.2146938775510205,87.43650793650794,0.0,448.45079365079357,671.3775510204083,18.423015873015874,11.439387755102043,58.526984126984125,90.28299319727891,828.1394331126984,826.5167541299319,18.417460317460318,16.961428571428574
11,14,2020.12.15 0:00,0.24234126984127,-5.98891156462585,101.62579365079365,0.0,530.825,822.0170918367347,16.935436507936508,9.882380952380954,73.84087301587302,89.32125850340137,793.7030852063492,899.4587003825171,17.859444444444442,17.351335034013605
11,15,2020.12.22 0:00,6.081111111111111,-2.153469387755102,86.12698412698413,0.0,447.4380952380953,661.165306122449,17.79952380952381,10.74578231292517,85.67301587301587,96.02108843537415,818.2434973965079,933.5406882829251,17.777301587301586,17.26986394557823
11,16,2020.12.29 0:00,-1.3758730158730164,-6.0370748299319725,62.76031746031747,0.0,353.04126984126987,530.7503401360544,14.832698412698415,10.18061224489796,85.86666666666666,96.01700680272108,879.5703898614285,967.3638978703402,16.91920634920635,17.496666666666666
11,17,2021.1.5 0:00,-5.322857142857143,-11.208163265306123,95.37142857142858,0.0,558.6714285714286,829.6122448979592,12.555714285714286,8.409183673469387,82.51428571428572,92.94897959183673,969.7275324614285,994.2512791734696,16.14142857142857,15.796938775510203
11,18,2021.1.12 0:00,3.5146031746031747,-2.4292517006802723,91.85555555555554,0.0,522.4031746031746,752.7721088435375,16.78714285714286,8.529251700680271,84.01428571428572,98.25986394557822,889.3720049198412,848.0470522210884,15.042380952380954,12.50503401360544
11,19,2021.1.19 0:00,8.041428571428572,1.678639455782312,84.81746031746033,0.0,496.8190476190476,687.8836734693878,19.32984126984127,10.001360544217688,84.8,98.08299319727891,824.3252525279365,847.6689239325169,16.62968253968254,13.527619047619046
11,20,2021.1.26 0:00,4.858409090909091,-0.6770506279434853,82.88279220779222,0.0,465.4775974025974,741.0040227629513,16.030584415584418,9.24067896389325,87.9396103896104,98.34693877551021,882.1486698870129,898.9633089496075,15.260714285714286,12.802403846153847
11,21,2021.2.2 0:00,3.0648051948051944,-1.3821821036106756,117.06363636363635,0.0,670.6181818181818,1077.5447409733124,17.907792207792205,9.528100470957614,81.85064935064933,98.05808477237049,848.8057513896105,825.0549450499215,15.937662337662337,13.283124018838302
