id,week,week_start_date,temp_ex_day,temp_ex_night,s_am_day,s_am_night,temp_int_day,temp_int_night,hum_int_day,hum_int_night,CO2_day,CO2_night,st_day,st_night
11,1,2020.9.15 0:00,22.79056776556777,16.75865800865801,1.1736630036630038,0.0,24.15869963369963,18.753138528138525,59.38186813186813,85.67207792207793,504.8716032047619,530.3368066021645,15.831840669999995,15.831840669999995
11,2,2020.9.22 0:00,22.45998168498169,16.19123376623377,1.4450000000000003,0.0,24.175174520760073,21.264586346082247,38.68956043956043,76.2732683982684,478.42170329670336,552.349025974026,15.831840669999995,15.831840669999995
11,3,2020.9.29 0:00,20.963961038961035,15.372802197802201,1.1403463203463204,0.0,23.842774661958874,23.88327411608059,43.121212121212125,81.45146520146521,512.4334415584416,600.2884615384615,15.831840669999995,15.831840669999995
11,4,2020.10.6 0:00,19.831060606060607,13.555952380952382,1.325443722943723,0.0,20.77634444055195,20.818848818772892,35.358225108225106,70.62271062271063,497.43831168831167,559.5201465201466,15.831840669999995,15.831840669999995
11,5,2020.10.13 0:00,15.314639905506494,7.0205794205824175,1.1342857142857143,0.0,20.316862121558444,15.239040174615386,39.064935064935064,74.8131868131868,501.68181818181813,626.0934065934067,15.831840669999995,15.831840669999995
11,6,2020.10.20 0:00,15.63896103896104,6.553846153846154,1.1584415584415582,0.0,19.33766233766234,13.63296703296703,42.935064935064936,76.86813186813187,553.448051948052,653.2307692307693,15.831840669999995,15.831840669999995
11,7,2020.10.27 0:00,15.556331168831166,7.417445054945055,1.077224025974026,0.0,20.582142857142856,14.480425824175823,48.52435064935065,78.93063186813185,534.6639610389609,674.6528159340659,15.83184067,15.831840669999995
11,8,2020.11.3 0:00,12.005194805194806,4.2505494505494505,1.0242857142857142,0.0,20.132467532467533,13.40989010989011,52.00000000000001,78.48351648351648,508.64285714285717,636.1153846153845,16.12068218493506,15.83119008373626
11,9,2020.11.10 0:00,14.322453102453101,4.253035060177917,1.097004329004329,0.0,20.735440115440117,12.934149659863948,47.2001443001443,78.3322867608582,523.6839826839827,662.6489795918367,17.603304473304473,15.621104133961277
11,10,2020.11.17 0:00,12.389642857142857,9.56951530612245,0.4903571428571429,0.0,18.425357142857145,15.22780612244898,80.26785714285714,95.25000000000001,557.625,631.0918367346939,18.656428571428574,17.745025510204083
11,11,2020.11.24 0:00,7.233650793650795,1.8234013605442174,0.8738253968253967,0.0,19.15031746031746,12.676802721088434,64.96666666666667,87.52993197278911,741.6260582020634,653.3842970489796,18.834285714285716,17.456394557823128
11,12,2020.12.1 0:00,5.763347763347762,-1.215834641548927,0.8423376623376623,0.0,18.743636363636362,11.073689167974882,67.16493506493507,86.08294086865514,674.697619047619,760.9213239141811,18.876421356421357,17.208236525379384
11,13,2020.12.8 0:00,5.006825396825397,-0.2146938775510205,0.8743650793650792,0.0,18.423015873015874,11.439387755102043,58.526984126984125,90.28299319727891,828.1394331126984,826.5167541299319,18.417460317460318,16.961428571428574
11,14,2020.12.15 0:00,0.24234126984127,-5.98891156462585,1.0162579365079365,0.0,16.935436507936508,9.882380952380954,73.84087301587302,89.32125850340137,793.7030852063492,899.4587003825171,17.859444444444442,17.351335034013605
11,15,2020.12.22 0:00,6.081111111111111,-2.153469387755102,0.8612698412698413,0.0,17.79952380952381,10.74578231292517,85.67301587301587,96.02108843537415,818.2434973965079,933.5406882829251,17.777301587301586,17.26986394557823
11,16,2020.12.29 0:00,-1.3758730158730164,-6.0370748299319725,0.6276031746031746,0.0,14.832698412698415,10.18061224489796,85.86666666666666,96.01700680272108,879.5703898614285,967.3638978703402,16.91920634920635,17.496666666666666
11,17,2021.1.5 0:00,-5.322857142857143,-11.208163265306123,0.9537142857142857,0.0,12.555714285714286,8.409183673469387,82.51428571428572,92.94897959183673,969.7275324614285,994.2512791734696,16.14142857142857,15.796938775510203
11,18,2021.1.12 0:00,3.5146031746031747,-2.4292517006802723,0.9185555555555556,0.0,16.78714285714286,8.529251700680271,84.01428571428572,98.25986394557822,889.3720049198412,848.0470522210884,15.042380952380954,12.50503401360544
11,19,2021.1.19 0:00,8.041428571428572,1.678639455782312,0.8481746031746031,0.0,19.32984126984127,10.001360544217688,84.8,98.08299319727891,824.3252525279365,847.6689239325169,16.62968253968254,13.527619047619046
11,20,2021.1.26 0:00,4.858409090909091,-0.6770506279434853,0.8288279220779219,0.0,16.030584415584418,9.24067896389325,87.9396103896104,98.34693877551021,882.1486698870129,898.9633089496075,15.260714285714286,12.802403846153847
11,21,2021.2.2 0:00,3.0648051948051944,-1.3821821036106756,1.1706363636363635,0.0,17.907792207792205,9.528100470957614,81.85064935064933,98.05808477237049,848.8057513896105,825.0549450499215,15.937662337662337,13.283124018838302
11,22,2021.2.9 0:00,8.26090909090909,0.1670329670329672,1.1328181818181817,0.0,19.807272727272725,10.417346938775509,79.37532467532468,98.77315541601254,688.5435992545454,779.1505382395604,16.46064935064935,13.846781789638934
11,23,2021.2.16 0:00,5.7493506493506485,-1.4142857142857144,1.2654545454545456,0.0,18.596103896103898,9.264835164835166,73.87012987012986,96.42857142857142,763.9963934233767,887.2667879824177,15.844155844155846,13.235164835164836
11,24,2021.2.23 0:00,8.394402597402598,3.424427838827839,0.9252128427128427,0.0,17.750829725829725,10.464945054945057,82.50036075036076,97.76575091575091,738.082683987013,708.160073259707,15.82492784992785,13.786556776556779
11,25,2021.3.2 0:00,9.722186147186147,3.578010989010989,1.0868506493506493,0.0,18.339826839826838,10.418681318681319,78.36796536796535,98.63186813186813,590.0906926371212,684.1141025641026,15.990800865800864,13.683333333333334
