도,시군,품목,작기,농가명,조사일자,개체번호,줄기번호,초장,생장길이,엽수,엽장,엽폭,줄기굵기,화방높이,화방번호,화방별꽃수,화방별개화수,화방별착과수,개화군,착과군
강원,춘천,완숙토마토,1,009,2020-04-14,2,1,147.0,15.0,11,42.3,35.0,10.33,20.2,4,6,,,3.67,3.00
강원,춘천,완숙토마토,1,009,2020-04-14,3,1,132.5,11.5,11,38.0,39.0,11.47,5.2,5,5,,,4.60,3.33
강원,춘천,완숙토마토,1,009,2020-04-14,4,1,127.5,16.5,10,40.4,36.0,9.79,19.0,4,6,,,3.67,2.52
강원,춘천,완숙토마토,1,009,2020-04-21,1,1,153.4,23.5,13,31.0,27.0,7.88,11.5,5,3,,,5.00,4.00
강원,춘천,완숙토마토,1,009,2020-04-21,2,1,168.0,21.0,12,34.9,29.0,8.46,13.5,5,7,,,4.43,3.29
강원,춘천,완숙토마토,1,009,2020-04-21,3,1,155.5,23.0,13,34.0,24.0,6.03,5.5,6,6,,,5.33,3.83
강원,춘천,완숙토마토,1,009,2020-04-21,4,1,151.2,23.7,12,34.5,31.0,7.84,15.8,5,6,,,4.67,3.50
강원,춘천,완숙토마토,1,009,2020-04-28,1,1,166.9,13.5,16,36.0,33.0,6.06,4.0,6,5,,,5.40,5.00
강원,춘천,완숙토마토,1,009,2020-04-28,2,1,180.5,12.5,15,35.5,22.0,6.99,4.0,6,5,,,5.36,3.97
강원,춘천,완숙토마토,1,009,2020-04-28,3,1,171.2,15.7,13,34.0,25.0,9.71,15.0,6,6,,,6.00,5.00
강원,춘천,완숙토마토,1,009,2020-04-28,4,1,166.4,15.2,15,36.5,23.0,4.63,5.5,6,3,,,6.00,4.17
강원,춘천,완숙토마토,1,009,2020-05-06,1,1,186.4,19.5,15,38.3,30.0,3.28,4.0,7,5,,,6.40,5.60
강원,춘천,완숙토마토,1,009,2020-05-06,2,1,200.3,19.8,17,32.5,22.0,3.18,3.0,7,4,,,6.25,6.00
강원,춘천,완숙토마토,1,009,2020-05-06,3,1,195.2,24.0,12,37.0,29.0,3.22,3.0,8,5,,,7.00,5.83
강원,춘천,완숙토마토,1,009,2020-05-06,4,1,189.9,23.5,17,34.0,21.0,3.63,4.5,7,3,,,7.00,6.00
강원,춘천,완숙토마토,1,009,2020-05-12,1,1,200.9,14.5,12,35.5,24.0,6.73,8.5,7,5,,,6.80,5.60
강원,춘천,완숙토마토,1,009,2020-05-12,2,1,214.5,14.2,15,34.5,22.0,6.36,8.0,7,4,,,7.00,6.00
강원,춘천,완숙토마토,1,009,2020-05-12,3,1,205.2,10.0,15,35.5,19.0,6.12,8.5,8,6,,,7.67,6.50
강원,춘천,완숙토마토,1,009,2020-05-12,4,1,200.4,10.5,16,37.5,26.0,6.20,15.0,7,3,,,6.75,6.08
강원,춘천,완숙토마토,1,009,2020-05-19,1,1,214.4,13.5,16,33.5,20.0,3.47,3.5,8,4,,,7.75,6.60
강원,춘천,완숙토마토,1,009,2020-05-19,2,1,224.5,10.0,18,32.5,20.0,3.23,3.5,8,5,,,7.20,6.75
강원,춘천,완숙토마토,1,009,2020-05-19,3,1,227.2,22.0,14,37.0,27.0,3.49,3.0,9,3,,,9.00,7.25
강원,춘천,완숙토마토,1,009,2020-05-19,4,1,216.4,16.0,17,34.0,20.0,4.53,4.5,8,4,,,8.00,6.33
강원,춘천,완숙토마토,1,009,2020-05-26,1,1,224.2,9.8,16,34.0,26.0,3.20,3.8,8,4,,,8.00,7.75
강원,춘천,완숙토마토,1,009,2020-05-26,2,1,233.7,9.2,18,33.5,22.0,3.42,3.8,8,5,,,8.00,7.60
강원,춘천,완숙토마토,1,009,2020-05-26,3,1,241.2,14.0,14,38.0,28.0,3.40,4.0,9,3,,,9.00,8.00
강원,춘천,완숙토마토,1,009,2020-05-26,4,1,228.4,12.0,17,35.5,21.0,5.60,4.5,8,4,,,8.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-02,1,1,,,,,,,,8,4,,,8.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-02,2,1,,,,,,,,8,5,,,8.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-02,3,1,,,,,,,,9,3,,,9.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-02,4,1,,,,,,,,8,4,,,8.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-11,1,1,,,,,,,,8,4,,,8.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-11,2,1,,,,,,,,8,5,,,8.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-11,3,1,,,,,,,,9,3,,,9.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-11,4,1,,,,,,,,8,4,,,8.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-16,1,1,,,,,,,,8,4,,,8.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-16,2,1,,,,,,,,8,5,,,8.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-16,3,1,,,,,,,,9,3,,,9.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-16,4,1,,,,,,,,8,4,,,8.00,8.00
강원,춘천,완숙토마토,1,009,2020-06-24,1,1,,,,,,,,8,4,,,8.00,8.00
