도,시군,품목,작기,농가명,조사일자,개체번호,줄기번호,초장,생장길이,엽수,엽장,엽폭,줄기굵기,화방높이,화방번호,화방별꽃수,화방별개화수,화방별착과수
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,2,,5,2
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,3,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,4,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,5,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,6,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,7,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,8,,,
경기,평택,방울토마토,1,001,2020-02-12,1,,82.8,,9,34.7,28.9,9.98,30.5,9,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,1,,5,5
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,10,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,11,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,12,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,13,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,2,,6,2
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,3,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,4,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,5,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,6,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,7,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,8,,,
경기,평택,방울토마토,1,001,2020-02-12,2,,73.9,,6,34.5,28.6,8.35,28.7,9,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,1,,6,6
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,10,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,11,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,12,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,13,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,2,,4,1
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,3,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,4,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,5,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,6,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,7,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,8,,,
경기,평택,방울토마토,1,001,2020-02-12,3,,64.7,,7,30.0,23.5,10.25,22.4,9,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,1,,7,5
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,10,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,11,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,12,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,13,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,2,,6,3
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,3,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,4,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,5,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,6,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,7,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,8,,,
경기,평택,방울토마토,1,001,2020-02-12,4,,77.0,,9,36.0,28.7,8.83,25.2,9,,,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,1,,7,6
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,10,,,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,11,,,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,12,,,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,13,,,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,2,,9,5
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,3,,3,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,4,,,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,5,,,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,6,,,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,7,,,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,8,,,
경기,평택,방울토마토,1,001,2020-02-19,1,,95.3,,10,35.8,28.9,10.66,43.6,9,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,1,,6,5
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,10,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,11,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,12,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,13,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,2,,9,6
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,3,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,4,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,5,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,6,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,7,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,8,,,
경기,평택,방울토마토,1,001,2020-02-19,2,,82.5,,7,36.2,30.8,10.59,40.4,9,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,1,,6,6
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,10,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,11,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,12,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,13,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,2,,7,3
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,3,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,4,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,5,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,6,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,7,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,8,,,
경기,평택,방울토마토,1,001,2020-02-19,3,,76.4,,7,31.3,24.6,10.11,33.7,9,,,
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,1,,10,8
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,10,,,
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,11,,,
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,12,,,
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,13,,,
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,2,,7,3
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,3,,,
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,4,,,
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,5,,,
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,6,,,
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,7,,,
경기,평택,방울토마토,1,001,2020-02-19,4,,90.6,,9,36.8,29.8,9.36,40.9,8,,,
