id,week,week_start_date,obj_num,flw_get,height_pl,num_leaf,len_leaf,width_leaf,unit_len,dim_pipe,temp_ex_max,temp_ex_min,temp_ex_mean,sr_ex_max,sr_ex_min,sr_ex_mean,temp_int_max,temp_int_min,temp_int_mean,hum_int_max,hum_int_min,hum_int_mean,CO2_max,CO2_min,CO2_mean,soil_temp_max,soil_temp_min,soil_temp_mean
11,4,2020.10.6 0:00,1,0,20.8,7,10.3,8.4,7.5,13.3,23.357142857142858,10.542857142857144,16.576785714285712,2.495714285714286,0.0385714285714285,0.6430952380952382,21.00831408857143,20.588683602857145,20.798498845238093,86.0,17.428571428571427,53.648809523809526,1102.2857142857142,430.57142857142856,530.2946428571429,15.831840670000002,15.831840670000002,15.831840670000004
11,4,2020.10.6 0:00,2,0,18.4,7,8.7,7.3,6.5,12.31,23.357142857142858,10.542857142857144,16.576785714285712,2.495714285714286,0.0385714285714285,0.6430952380952382,21.00831408857143,20.588683602857145,20.798498845238093,86.0,17.428571428571427,53.648809523809526,1102.2857142857142,430.57142857142856,530.2946428571429,15.831840670000002,15.831840670000002,15.831840670000004
11,4,2020.10.6 0:00,3,0,21.2,6,11.6,8.6,7.8,12.56,23.357142857142858,10.542857142857144,16.576785714285712,2.495714285714286,0.0385714285714285,0.6430952380952382,21.00831408857143,20.588683602857145,20.798498845238093,86.0,17.428571428571427,53.648809523809526,1102.2857142857142,430.57142857142856,530.2946428571429,15.831840670000002,15.831840670000002,15.831840670000004
11,4,2020.10.6 0:00,4,0,24.6,6,11.4,9.3,9.1,12.88,23.357142857142858,10.542857142857144,16.576785714285712,2.495714285714286,0.0385714285714285,0.6430952380952382,21.00831408857143,20.588683602857145,20.798498845238093,86.0,17.428571428571427,53.648809523809526,1102.2857142857142,430.57142857142856,530.2946428571429,15.831840670000002,15.831840670000002,15.831840670000004
11,5,2020.10.13 0:00,1,0,21.1,6,11.1,8.2,7.9,13.36,18.54285714285714,4.271428571428571,10.82202380950595,2.0885714285714285,0.0771428571428571,0.5198809523809523,24.32240184714286,12.97674035,17.566375233630954,80.85714285714286,22.857142857142858,58.42857142857143,895.5714285714286,432.8571428571428,569.0714285714286,15.831840670000002,15.831840670000002,15.831840670000004
11,5,2020.10.13 0:00,2,0,19.5,5,10.5,8.0,6.7,11.9,18.54285714285714,4.271428571428571,10.82202380950595,2.0885714285714285,0.0771428571428571,0.5198809523809523,24.32240184714286,12.97674035,17.566375233630954,80.85714285714286,22.857142857142858,58.42857142857143,895.5714285714286,432.8571428571428,569.0714285714286,15.831840670000002,15.831840670000002,15.831840670000004
11,5,2020.10.13 0:00,3,0,21.0,5,10.7,9.6,9.2,13.06,18.54285714285714,4.271428571428571,10.82202380950595,2.0885714285714285,0.0771428571428571,0.5198809523809523,24.32240184714286,12.97674035,17.566375233630954,80.85714285714286,22.857142857142858,58.42857142857143,895.5714285714286,432.8571428571428,569.0714285714286,15.831840670000002,15.831840670000002,15.831840670000004
11,5,2020.10.13 0:00,4,0,26.1,5,12.8,10.2,12.0,12.91,18.54285714285714,4.271428571428571,10.82202380950595,2.0885714285714285,0.0771428571428571,0.5198809523809523,24.32240184714286,12.97674035,17.566375233630954,80.85714285714286,22.857142857142858,58.42857142857143,895.5714285714286,432.8571428571428,569.0714285714286,15.831840670000002,15.831840670000002,15.831840670000004
11,6,2020.10.20 0:00,1,0,20.1,6,11.6,9.2,6.7,13.39,19.242857142857144,3.5428571428571423,10.717857142857142,2.045714285714286,0.0528571428571428,0.530952380952381,23.357142857142858,12.05714285714286,16.247619047619047,83.0,25.857142857142858,61.31547619047618,1150.2857142857142,436.7142857142857,607.4970238095239,15.831840670000002,15.831840670000002,15.831840670000004
11,6,2020.10.20 0:00,2,0,18.9,6,10.8,8.2,6.7,12.67,19.242857142857144,3.5428571428571423,10.717857142857142,2.045714285714286,0.0528571428571428,0.530952380952381,23.357142857142858,12.05714285714286,16.247619047619047,83.0,25.857142857142858,61.31547619047618,1150.2857142857142,436.7142857142857,607.4970238095239,15.831840670000002,15.831840670000002,15.831840670000004
11,6,2020.10.20 0:00,3,0,23.3,6,12.6,9.4,11.2,13.77,19.242857142857144,3.5428571428571423,10.717857142857142,2.045714285714286,0.0528571428571428,0.530952380952381,23.357142857142858,12.05714285714286,16.247619047619047,83.0,25.857142857142858,61.31547619047618,1150.2857142857142,436.7142857142857,607.4970238095239,15.831840670000002,15.831840670000002,15.831840670000004
11,6,2020.10.20 0:00,4,0,27.5,7,12.4,8.7,12.6,14.5,19.242857142857144,3.5428571428571423,10.717857142857142,2.045714285714286,0.0528571428571428,0.530952380952381,23.357142857142858,12.05714285714286,16.247619047619047,83.0,25.857142857142858,61.31547619047618,1150.2857142857142,436.7142857142857,607.4970238095239,15.831840670000002,15.831840670000002,15.831840670000004
11,7,2020.10.27 0:00,1,1,22.9,6,10.4,7.7,6.3,13.58,19.185714285714287,3.442857142857143,11.139285714285714,1.9828571428571429,0.0357142857142857,0.4901785714285713,23.87142857142857,13.228571428571428,17.241666666666667,85.57142857142857,28.428571428571427,65.07142857142858,1098.7142857142858,402.8571428571428,611.6458333333333,15.831840670000002,15.831840670000002,15.831840670000004
11,7,2020.10.27 0:00,2,0,18.9,6,10.6,8.2,7.8,13.86,19.185714285714287,3.442857142857143,11.139285714285714,1.9828571428571429,0.0357142857142857,0.4901785714285713,23.87142857142857,13.228571428571428,17.241666666666667,85.57142857142857,28.428571428571427,65.07142857142858,1098.7142857142858,402.8571428571428,611.6458333333333,15.831840670000002,15.831840670000002,15.831840670000004
