id,week,week_start_date,obj_num,flw_get,week_sin,week_cos,last_flw_get,height_pl,num_leaf,len_leaf,width_leaf,unit_len,dim_pipe,temp_ex_day,temp_ex_night,sr_ex_day,temp_int_day,temp_int_night,hum_int_day,hum_int_night,CO2_day,CO2_night,soil_temp_day,soil_temp_night
11,5,2020.10.13 0:00,1,0,0.9350162426854148,0.35460488704253557,0.0,21.1,6,11.1,8.2,7.9,13.36,15.314639905506494,7.0205794205824175,1.1342857142857143,20.316862121558444,15.239040174615386,39.06493506493506,74.8131868131868,501.6818181818181,626.0934065934067,15.831840669999997,15.831840669999997
11,5,2020.10.13 0:00,2,0,0.9350162426854148,0.35460488704253557,0.0,19.5,5,10.5,8.0,6.7,11.9,15.314639905506494,7.0205794205824175,1.1342857142857143,20.316862121558444,15.239040174615386,39.06493506493506,74.8131868131868,501.6818181818181,626.0934065934067,15.831840669999997,15.831840669999997
11,5,2020.10.13 0:00,3,0,0.9350162426854148,0.35460488704253557,0.0,21.0,5,10.7,9.6,9.2,13.06,15.314639905506494,7.0205794205824175,1.1342857142857143,20.316862121558444,15.239040174615386,39.06493506493506,74.8131868131868,501.6818181818181,626.0934065934067,15.831840669999997,15.831840669999997
11,5,2020.10.13 0:00,4,0,0.9350162426854148,0.35460488704253557,0.0,26.1,5,12.8,10.2,12.0,12.91,15.314639905506494,7.0205794205824175,1.1342857142857143,20.316862121558444,15.239040174615386,39.06493506493506,74.8131868131868,501.6818181818181,626.0934065934067,15.831840669999997,15.831840669999997
11,6,2020.10.20 0:00,1,0,0.992708874098054,0.120536680255323,0.0,20.1,6,11.6,9.2,6.7,13.39,15.63896103896104,6.553846153846154,1.1584415584415582,19.33766233766234,13.63296703296703,42.935064935064936,76.86813186813187,553.448051948052,653.2307692307693,15.831840669999997,15.831840669999997
11,6,2020.10.20 0:00,2,0,0.992708874098054,0.120536680255323,0.0,18.9,6,10.8,8.2,6.7,12.67,15.63896103896104,6.553846153846154,1.1584415584415582,19.33766233766234,13.63296703296703,42.935064935064936,76.86813186813187,553.448051948052,653.2307692307693,15.831840669999997,15.831840669999997
11,6,2020.10.20 0:00,3,0,0.992708874098054,0.120536680255323,0.0,23.3,6,12.6,9.4,11.2,13.77,15.63896103896104,6.553846153846154,1.1584415584415582,19.33766233766234,13.63296703296703,42.935064935064936,76.86813186813187,553.448051948052,653.2307692307693,15.831840669999997,15.831840669999997
11,6,2020.10.20 0:00,4,0,0.992708874098054,0.120536680255323,0.0,27.5,7,12.4,8.7,12.6,14.5,15.63896103896104,6.553846153846154,1.1584415584415582,19.33766233766234,13.63296703296703,42.935064935064936,76.86813186813187,553.448051948052,653.2307692307693,15.831840669999997,15.831840669999997
11,7,2020.10.27 0:00,1,1,0.992708874098054,-0.12053668025532288,0.0,22.9,6,10.4,7.7,6.3,13.58,15.556331168831166,7.417445054945055,1.077224025974026,20.582142857142856,14.480425824175825,48.52435064935065,78.93063186813185,534.6639610389609,674.6528159340659,15.83184067,15.831840669999997
11,7,2020.10.27 0:00,2,0,0.992708874098054,-0.12053668025532288,0.0,18.9,6,10.6,8.2,7.8,13.86,15.556331168831166,7.417445054945055,1.077224025974026,20.582142857142856,14.480425824175825,48.52435064935065,78.93063186813185,534.6639610389609,674.6528159340659,15.83184067,15.831840669999997
11,7,2020.10.27 0:00,3,1,0.992708874098054,-0.12053668025532288,0.0,25.5,6,13.1,10.0,11.8,13.91,15.556331168831166,7.417445054945055,1.077224025974026,20.582142857142856,14.480425824175825,48.52435064935065,78.93063186813185,534.6639610389609,674.6528159340659,15.83184067,15.831840669999997
11,7,2020.10.27 0:00,4,1,0.992708874098054,-0.12053668025532288,0.0,30.2,8,13.4,9.4,14.6,14.62,15.556331168831166,7.417445054945055,1.077224025974026,20.582142857142856,14.480425824175825,48.52435064935065,78.93063186813185,534.6639610389609,674.6528159340659,15.83184067,15.831840669999997
11,8,2020.11.3 0:00,1,7,0.9350162426854148,-0.35460488704253545,1.0,24.5,7,10.7,8.0,7.8,14.65,12.005194805194806,4.2505494505494505,1.0242857142857142,20.132467532467533,13.40989010989011,52.00000000000001,78.48351648351648,508.6428571428572,636.1153846153845,16.12068218493506,15.83119008373626
11,8,2020.11.3 0:00,2,3,0.9350162426854148,-0.35460488704253545,0.0,15.2,7,7.9,6.2,6.4,15.36,12.005194805194806,4.2505494505494505,1.0242857142857142,20.132467532467533,13.40989010989011,52.00000000000001,78.48351648351648,508.6428571428572,636.1153846153845,16.12068218493506,15.83119008373626
11,8,2020.11.3 0:00,3,6,0.9350162426854148,-0.35460488704253545,1.0,29.4,7,13.3,9.7,13.2,14.68,12.005194805194806,4.2505494505494505,1.0242857142857142,20.132467532467533,13.40989010989011,52.00000000000001,78.48351648351648,508.6428571428572,636.1153846153845,16.12068218493506,15.83119008373626
11,8,2020.11.3 0:00,4,4,0.9350162426854148,-0.35460488704253545,1.0,31.2,8,12.9,9.5,15.7,14.82,12.005194805194806,4.2505494505494505,1.0242857142857142,20.132467532467533,13.40989010989011,52.00000000000001,78.48351648351648,508.6428571428572,636.1153846153845,16.12068218493506,15.83119008373626
11,9,2020.11.10 0:00,1,11,0.8229838658936565,-0.5680647467311557,7.0,25.3,7,11.7,8.5,12.3,14.52,14.3224531024531,4.253035060177917,1.097004329004329,20.73544011544012,12.934149659863948,47.2001443001443,78.3322867608582,523.6839826839827,662.6489795918367,17.603304473304473,15.621104133961277
11,9,2020.11.10 0:00,2,7,0.8229838658936565,-0.5680647467311557,3.0,18.3,6,8.2,6.1,9.6,15.45,14.3224531024531,4.253035060177917,1.097004329004329,20.73544011544012,12.934149659863948,47.2001443001443,78.3322867608582,523.6839826839827,662.6489795918367,17.603304473304473,15.621104133961277
11,9,2020.11.10 0:00,3,7,0.8229838658936565,-0.5680647467311557,6.0,31.0,7,14.6,9.9,4.4,15.33,14.3224531024531,4.253035060177917,1.097004329004329,20.73544011544012,12.934149659863948,47.2001443001443,78.3322867608582,523.6839826839827,662.6489795918367,17.603304473304473,15.621104133961277
11,9,2020.11.10 0:00,4,7,0.8229838658936565,-0.5680647467311557,4.0,35.3,5,13.4,9.8,20.6,14.92,14.3224531024531,4.253035060177917,1.097004329004329,20.73544011544012,12.934149659863948,47.2001443001443,78.3322867608582,523.6839826839827,662.6489795918367,17.603304473304473,15.621104133961277
11,10,2020.11.17 0:00,1,12,0.6631226582407952,-0.7485107481711012,11.0,26.1,8,11.7,8.9,11.3,15.16,12.389642857142857,9.56951530612245,0.4903571428571429,18.425357142857145,15.22780612244898,80.26785714285714,95.25,557.625,631.0918367346939,18.65642857142857,17.745025510204083
11,10,2020.11.17 0:00,2,8,0.6631226582407952,-0.7485107481711012,7.0,19.6,6,7.8,6.4,10.5,15.48,12.389642857142857,9.56951530612245,0.4903571428571429,18.425357142857145,15.22780612244898,80.26785714285714,95.25,557.625,631.0918367346939,18.65642857142857,17.745025510204083
11,10,2020.11.17 0:00,3,10,0.6631226582407952,-0.7485107481711012,7.0,30.3,7,14.6,10.2,15.3,16.06,12.389642857142857,9.56951530612245,0.4903571428571429,18.425357142857145,15.22780612244898,80.26785714285714,95.25,557.625,631.0918367346939,18.65642857142857,17.745025510204083
11,10,2020.11.17 0:00,4,11,0.6631226582407952,-0.7485107481711012,7.0,36.7,6,13.6,9.7,15.2,15.18,12.389642857142857,9.56951530612245,0.4903571428571429,18.425357142857145,15.22780612244898,80.26785714285714,95.25,557.625,631.0918367346939,18.65642857142857,17.745025510204083
11,11,2020.11.24 0:00,1,12,0.46472317204376906,-0.8854560256532096,12.0,27.3,8,10.4,7.3,12.5,15.58,7.233650793650795,1.8234013605442168,0.8738253968253967,19.15031746031746,12.676802721088434,64.96666666666667,87.52993197278911,741.6260582020634,653.3842970489796,18.83428571428572,17.456394557823128
11,11,2020.11.24 0:00,2,8,0.46472317204376906,-0.8854560256532096,8.0,20.8,6,8.4,6.1,10.7,15.56,7.233650793650795,1.8234013605442168,0.8738253968253967,19.15031746031746,12.676802721088434,64.96666666666667,87.52993197278911,741.6260582020634,653.3842970489796,18.83428571428572,17.456394557823128
11,11,2020.11.24 0:00,3,11,0.46472317204376906,-0.8854560256532096,10.0,31.3,7,14.3,10.2,15.7,16.12,7.233650793650795,1.8234013605442168,0.8738253968253967,19.15031746031746,12.676802721088434,64.96666666666667,87.52993197278911,741.6260582020634,653.3842970489796,18.83428571428572,17.456394557823128
11,11,2020.11.24 0:00,4,13,0.46472317204376906,-0.8854560256532096,11.0,37.1,7,12.6,8.7,21.0,15.19,7.233650793650795,1.8234013605442168,0.8738253968253967,19.15031746031746,12.676802721088434,64.96666666666667,87.52993197278911,741.6260582020634,653.3842970489796,18.83428571428572,17.456394557823128
11,12,2020.12.1 0:00,1,10,0.23931566428755768,-0.970941817426052,12.0,27.6,7,10.2,7.4,16.3,15.61,5.763347763347762,-1.215834641548927,0.8423376623376623,18.74363636363636,11.073689167974882,67.16493506493507,86.08294086865514,674.697619047619,760.9213239141811,18.87642135642136,17.208236525379384
11,12,2020.12.1 0:00,2,7,0.23931566428755768,-0.970941817426052,8.0,21.5,6,8.5,6.2,11.1,15.59,5.763347763347762,-1.215834641548927,0.8423376623376623,18.74363636363636,11.073689167974882,67.16493506493507,86.08294086865514,674.697619047619,760.9213239141811,18.87642135642136,17.208236525379384
11,12,2020.12.1 0:00,3,10,0.23931566428755768,-0.970941817426052,11.0,31.1,7,14.2,10.5,15.8,16.24,5.763347763347762,-1.215834641548927,0.8423376623376623,18.74363636363636,11.073689167974882,67.16493506493507,86.08294086865514,674.697619047619,760.9213239141811,18.87642135642136,17.208236525379384
11,12,2020.12.1 0:00,4,10,0.23931566428755768,-0.970941817426052,13.0,36.6,7,13.3,8.9,18.5,15.2,5.763347763347762,-1.215834641548927,0.8423376623376623,18.74363636363636,11.073689167974882,67.16493506493507,86.08294086865514,674.697619047619,760.9213239141811,18.87642135642136,17.208236525379384
11,13,2020.12.8 0:00,1,7,-3.216245299353273e-16,-1.0,10.0,29.1,8,10.5,7.6,16.3,15.65,5.006825396825397,-0.2146938775510205,0.8743650793650792,18.42301587301588,11.439387755102045,58.526984126984125,90.28299319727893,828.1394331126984,826.5167541299319,18.41746031746032,16.961428571428574
11,13,2020.12.8 0:00,2,8,-3.216245299353273e-16,-1.0,7.0,22.3,6,8.4,6.3,11.5,15.61,5.006825396825397,-0.2146938775510205,0.8743650793650792,18.42301587301588,11.439387755102045,58.526984126984125,90.28299319727893,828.1394331126984,826.5167541299319,18.41746031746032,16.961428571428574
11,13,2020.12.8 0:00,3,8,-3.216245299353273e-16,-1.0,10.0,30.5,8,14.6,10.8,15.3,16.35,5.006825396825397,-0.2146938775510205,0.8743650793650792,18.42301587301588,11.439387755102045,58.526984126984125,90.28299319727893,828.1394331126984,826.5167541299319,18.41746031746032,16.961428571428574
11,13,2020.12.8 0:00,4,8,-3.216245299353273e-16,-1.0,10.0,30.1,7,9.4,7.1,21.4,15.47,5.006825396825397,-0.2146938775510205,0.8743650793650792,18.42301587301588,11.439387755102045,58.526984126984125,90.28299319727893,828.1394331126984,826.5167541299319,18.41746031746032,16.961428571428574
11,14,2020.12.15 0:00,1,5,-0.23931566428755743,-0.9709418174260521,7.0,28.5,8,10.2,7.4,15.6,15.71,0.24234126984127,-5.98891156462585,1.0162579365079365,16.935436507936508,9.882380952380954,73.84087301587302,89.32125850340137,793.7030852063492,899.4587003825171,17.859444444444442,17.351335034013605
