도,시군,품목,작기,농가명,출하일자,총출하량,판매금액
강원,인제,파프리카,1,003,2020-12-07,5375.0,
강원,인제,파프리카,1,003,2020-12-07,295.0,
강원,인제,파프리카,1,003,2020-12-15,5085.0,
강원,인제,파프리카,1,003,2020-12-15,360.0,
강원,인제,파프리카,1,003,2020-12-22,3850.0,
강원,인제,파프리카,1,003,2020-12-22,590.0,
강원,철원,파프리카,1,002,2020-05-27,132.0,
강원,철원,파프리카,1,002,2020-05-29,444.0,
강원,철원,파프리카,1,002,2020-06-01,774.0,
강원,철원,파프리카,1,002,2020-06-03,1368.0,
강원,철원,파프리카,1,002,2020-06-04,648.0,
강원,철원,파프리카,1,002,2020-06-05,1128.0,
강원,철원,파프리카,1,002,2020-06-07,1446.0,
강원,철원,파프리카,1,002,2020-06-08,996.0,
강원,철원,파프리카,1,002,2020-06-09,798.0,
강원,철원,파프리카,1,002,2020-06-10,1104.0,
강원,철원,파프리카,1,002,2020-06-11,612.0,
강원,철원,파프리카,1,002,2020-06-12,798.0,
강원,철원,파프리카,1,002,2020-06-14,1482.0,
강원,철원,파프리카,1,002,2020-06-15,1944.0,
강원,철원,파프리카,1,002,2020-06-16,1818.0,
강원,철원,파프리카,1,002,2020-06-17,1062.0,
강원,철원,파프리카,1,002,2020-06-18,834.0,
강원,철원,파프리카,1,002,2020-06-19,768.0,
강원,철원,파프리카,1,002,2020-06-21,1932.0,
강원,철원,파프리카,1,002,2020-06-22,510.0,
강원,철원,파프리카,1,002,2020-06-23,720.0,
강원,철원,파프리카,1,002,2020-06-26,744.0,
강원,철원,파프리카,1,002,2020-06-30,876.0,
강원,철원,파프리카,1,002,2020-07-05,1512.0,
강원,철원,파프리카,1,002,2020-07-07,1872.0,
강원,철원,파프리카,1,002,2020-07-09,2508.0,
강원,철원,파프리카,1,002,2020-07-10,912.0,
강원,철원,파프리카,1,002,2020-07-13,3036.0,
강원,철원,파프리카,1,002,2020-07-14,2964.0,
강원,철원,파프리카,1,002,2020-07-16,2718.0,
강원,철원,파프리카,1,002,2020-07-21,2160.0,
강원,철원,파프리카,1,002,2020-07-22,1452.0,
강원,철원,파프리카,1,002,2020-07-27,2106.0,
강원,철원,파프리카,1,002,2020-08-02,1266.0,
강원,철원,파프리카,1,002,2020-08-07,906.0,
강원,철원,파프리카,1,002,2020-08-11,276.0,
강원,철원,파프리카,1,002,2020-08-16,348.0,
강원,철원,파프리카,1,002,2020-08-21,1434.0,
강원,철원,파프리카,1,002,2020-08-24,1758.0,
강원,철원,파프리카,1,002,2020-08-28,1836.0,
강원,철원,파프리카,1,002,2020-08-31,2340.0,
강원,철원,파프리카,1,002,2020-09-06,1488.0,
강원,철원,파프리카,1,002,2020-09-11,522.0,
강원,철원,파프리카,1,002,2020-09-13,1554.0,
강원,철원,파프리카,1,002,2020-09-17,1554.0,
강원,철원,파프리카,1,002,2020-09-21,372.0,
강원,철원,파프리카,1,002,2020-09-23,966.0,
강원,철원,파프리카,1,002,2020-09-28,756.0,
강원,철원,파프리카,1,002,2020-10-05,2142.0,
강원,철원,파프리카,1,002,2020-10-16,780.0,
강원,철원,파프리카,1,002,2020-10-23,660.0,
강원,철원,파프리카,1,002,2020-10-28,360.0,
강원,철원,파프리카,1,002,2020-11-01,564.0,
강원,철원,파프리카,1,002,2020-11-11,138.0,
강원,철원,파프리카,1,005,2020-06-01,1008.0,
강원,철원,파프리카,1,005,2020-06-01,1008.0,
강원,철원,파프리카,1,005,2020-06-02,966.0,
강원,철원,파프리카,1,005,2020-06-02,1008.0,
강원,철원,파프리카,1,005,2020-06-02,1008.0,
강원,철원,파프리카,1,005,2020-06-03,609.0,
강원,철원,파프리카,1,005,2020-06-04,1008.0,
강원,철원,파프리카,1,005,2020-06-04,1008.0,
강원,철원,파프리카,1,005,2020-06-05,504.0,
강원,철원,파프리카,1,005,2020-06-05,630.0,
강원,철원,파프리카,1,005,2020-06-05,1008.0,
강원,철원,파프리카,1,005,2020-06-08,1008.0,
강원,철원,파프리카,1,005,2020-06-08,619.5,
강원,철원,파프리카,1,005,2020-06-08,504.0,
강원,철원,파프리카,1,005,2020-06-09,1239.0,
강원,철원,파프리카,1,005,2020-06-09,1239.0,
강원,철원,파프리카,1,005,2020-06-09,1239.0,
강원,철원,파프리카,1,005,2020-06-11,724.5,
